clade_id	node_label	trait_kind	taxon_count	taxa	coverage_fraction	mean	median	minimum	maximum	range_width	mean_delta_from_global	dominant_state	dominant_state_count	dominant_state_fraction	dominant_state_enrichment	distinct_state_count	state_counts	distribution_shift	exceptionality_score	exceptional	rank
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Dendroica_caerulescens|Dolichonyx_oryzivorus|Erithacus_rubecula|Ficedula_albicollis|Ficedula_hypoleuca|Icterus_galbula|Passerculus_sandwichensis|Prunella_collaris|Prunella_modularis|Serinus_canaria|Serinus_serinus|Sialia_currucoides|Sialia_mexicana|Sialia_sialis|Spizella_pusilla|Taeniopygia_guttata|Thryothorus_ludovicianus|Troglodytes_aedon|Turdus_merula|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis		categorical	31	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Dendroica_caerulescens,Dolichonyx_oryzivorus,Erithacus_rubecula,Ficedula_albicollis,Ficedula_hypoleuca,Icterus_galbula,Passerculus_sandwichensis,Prunella_collaris,Prunella_modularis,Serinus_canaria,Serinus_serinus,Sialia_currucoides,Sialia_mexicana,Sialia_sialis,Spizella_pusilla,Taeniopygia_guttata,Thryothorus_ludovicianus,Troglodytes_aedon,Turdus_merula,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis	0.329787234042553							pair	20	0.645161290322581	0.0281400137268359	3	pair=20;polyandrous=10;cooperative=1	0.137954701441318	0.0792233906695314	false	30
Carduelis_cannabina|Carduelis_tristis|Serinus_canaria|Serinus_serinus		categorical	4	Carduelis_cannabina,Carduelis_tristis,Serinus_canaria,Serinus_serinus	0.0425531914893617							pair	4	1	0.382978723404255	1	pair=4	0.382978723404255	0.0790024784368437	false	31
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Dendroica_caerulescens|Dolichonyx_oryzivorus|Icterus_galbula|Passerculus_sandwichensis|Serinus_canaria|Serinus_serinus|Spizella_pusilla|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis		categorical	19	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Dendroica_caerulescens,Dolichonyx_oryzivorus,Icterus_galbula,Passerculus_sandwichensis,Serinus_canaria,Serinus_serinus,Spizella_pusilla,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis	0.202127659574468							pair	13	0.684210526315789	0.0671892497200448	2	pair=13;polyandrous=6	0.170212765957447	0.0765252932878785	false	32
Acanthiza_pusilla|Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus|Aegithalos_caudatus|Agelaius_phoeniceus|Alauda_arvensis|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Aphelocoma_coerulescens|Aphelocoma_ultramarina|Baeolophus_bicolor|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Delichon_urbicum|Dendroica_caerulescens|Dolichonyx_oryzivorus|Erithacus_rubecula|Ficedula_albicollis|Ficedula_hypoleuca|Gymnorhina_tibicen|Hirundo_rustica|Icterus_galbula|Malurus_coronatus|Malurus_cyaneus|Malurus_splendens|Manorina_melanocephala|Passerculus_sandwichensis|Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus|Pica_pica|Pomatostomus_temporalis|Prunella_collaris|Prunella_modularis|Rhipidura_fuliginosa|Sericornis_frontalis|Serinus_canaria|Serinus_serinus|Sialia_currucoides|Sialia_mexicana|Sialia_sialis|Spizella_pusilla|Struthidea_cinerea|Tachycineta_bicolor|Taeniopygia_guttata|Thryothorus_ludovicianus|Troglodytes_aedon|Turdus_merula|Vireo_solitarius|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis|Zosterops_lateralis		categorical	63	Acanthiza_pusilla,Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus,Aegithalos_caudatus,Agelaius_phoeniceus,Alauda_arvensis,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Aphelocoma_coerulescens,Aphelocoma_ultramarina,Baeolophus_bicolor,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Delichon_urbicum,Dendroica_caerulescens,Dolichonyx_oryzivorus,Erithacus_rubecula,Ficedula_albicollis,Ficedula_hypoleuca,Gymnorhina_tibicen,Hirundo_rustica,Icterus_galbula,Malurus_coronatus,Malurus_cyaneus,Malurus_splendens,Manorina_melanocephala,Passerculus_sandwichensis,Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus,Pica_pica,Pomatostomus_temporalis,Prunella_collaris,Prunella_modularis,Rhipidura_fuliginosa,Sericornis_frontalis,Serinus_canaria,Serinus_serinus,Sialia_currucoides,Sialia_mexicana,Sialia_sialis,Spizella_pusilla,Struthidea_cinerea,Tachycineta_bicolor,Taeniopygia_guttata,Thryothorus_ludovicianus,Troglodytes_aedon,Turdus_merula,Vireo_solitarius,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis,Zosterops_lateralis	0.670212765957447							pair	33	0.523809523809524	-0.0932117527862208	3	pair=33;polyandrous=17;cooperative=13	0.0932117527862208	0.0763092214402781	false	33
Aegithalos_caudatus|Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus		categorical	4	Aegithalos_caudatus,Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus	0.0425531914893617							polyandrous	2	0.5	0.287234042553192	3	polyandrous=2;cooperative=1;pair=1	0.367021276595745	0.0757107085019753	false	34
Agelaius_phoeniceus|Ammodramus_caudacutus|Ammodramus_maritimus|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Dendroica_caerulescens|Dolichonyx_oryzivorus|Icterus_galbula|Passerculus_sandwichensis|Serinus_canaria|Serinus_serinus|Spizella_pusilla|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis		categorical	18	Agelaius_phoeniceus,Ammodramus_caudacutus,Ammodramus_maritimus,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Dendroica_caerulescens,Dolichonyx_oryzivorus,Icterus_galbula,Passerculus_sandwichensis,Serinus_canaria,Serinus_serinus,Spizella_pusilla,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis	0.191489361702128							pair	12	0.666666666666667	0.0496453900709219	2	pair=12;polyandrous=6	0.170212765957447	0.0744842509776483	false	35
Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus|Zosterops_lateralis		categorical	6	Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus,Zosterops_lateralis	0.0638297872340425							pair	3	0.5	-0.117021276595745	2	pair=3;polyandrous=3	0.287234042553192	0.0725684102195617	false	36
Acanthiza_pusilla|Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus|Aegithalos_caudatus|Agelaius_phoeniceus|Alauda_arvensis|Ammodramus_caudacutus|Ammodramus_maritimus|Anthus_spinoletta|Aphelocoma_coerulescens|Aphelocoma_ultramarina|Baeolophus_bicolor|Calcarius_pictus|Carduelis_cannabina|Carduelis_tristis|Carpodacus_erythrinus|Carpodacus_mexicanus|Cercomacra_tyrannina|Corvus_brachyrhynchos|Corvus_corone|Cyanocorax_morio|Delichon_urbicum|Dendroica_caerulescens|Dolichonyx_oryzivorus|Erithacus_rubecula|Ficedula_albicollis|Ficedula_hypoleuca|Gymnorhina_tibicen|Hirundo_rustica|Icterus_galbula|Malurus_coronatus|Malurus_cyaneus|Malurus_splendens|Manorina_melanocephala|Passerculus_sandwichensis|Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus|Pica_pica|Pomatostomus_temporalis|Prunella_collaris|Prunella_modularis|Rhipidura_fuliginosa|Sericornis_frontalis|Serinus_canaria|Serinus_serinus|Sialia_currucoides|Sialia_mexicana|Sialia_sialis|Spizella_pusilla|Struthidea_cinerea|Tachycineta_bicolor|Taeniopygia_guttata|Thryothorus_ludovicianus|Troglodytes_aedon|Turdus_merula|Vireo_solitarius|Wilsonia_citrina|Wilsonia_pusilla|Zonotrichia_albicollis|Zosterops_lateralis		categorical	64	Acanthiza_pusilla,Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus,Aegithalos_caudatus,Agelaius_phoeniceus,Alauda_arvensis,Ammodramus_caudacutus,Ammodramus_maritimus,Anthus_spinoletta,Aphelocoma_coerulescens,Aphelocoma_ultramarina,Baeolophus_bicolor,Calcarius_pictus,Carduelis_cannabina,Carduelis_tristis,Carpodacus_erythrinus,Carpodacus_mexicanus,Cercomacra_tyrannina,Corvus_brachyrhynchos,Corvus_corone,Cyanocorax_morio,Delichon_urbicum,Dendroica_caerulescens,Dolichonyx_oryzivorus,Erithacus_rubecula,Ficedula_albicollis,Ficedula_hypoleuca,Gymnorhina_tibicen,Hirundo_rustica,Icterus_galbula,Malurus_coronatus,Malurus_cyaneus,Malurus_splendens,Manorina_melanocephala,Passerculus_sandwichensis,Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus,Pica_pica,Pomatostomus_temporalis,Prunella_collaris,Prunella_modularis,Rhipidura_fuliginosa,Sericornis_frontalis,Serinus_canaria,Serinus_serinus,Sialia_currucoides,Sialia_mexicana,Sialia_sialis,Spizella_pusilla,Struthidea_cinerea,Tachycineta_bicolor,Taeniopygia_guttata,Thryothorus_ludovicianus,Troglodytes_aedon,Turdus_merula,Vireo_solitarius,Wilsonia_citrina,Wilsonia_pusilla,Zonotrichia_albicollis,Zosterops_lateralis	0.680851063829787							pair	34	0.53125	-0.0857712765957447	3	pair=34;polyandrous=17;cooperative=13	0.0857712765957447	0.0707730535996725	false	37
Aegolius_funereus|Asio_otus|Strix_aluco		categorical	3	Aegolius_funereus,Asio_otus,Strix_aluco	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	38
Alle_alle|Cepphus_grylle|Fratercula_arctica		categorical	3	Alle_alle,Cepphus_grylle,Fratercula_arctica	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	39
Branta_canadensis|Cygnus_atratus|Hymenolaimus_malacorhynchos		categorical	3	Branta_canadensis,Cygnus_atratus,Hymenolaimus_malacorhynchos	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	40
Charadrius_hiaticula|Charadrius_semipalmatus|Haematopus_ostralegus		categorical	3	Charadrius_hiaticula,Charadrius_semipalmatus,Haematopus_ostralegus	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	41
Delichon_urbicum|Hirundo_rustica|Tachycineta_bicolor		categorical	3	Delichon_urbicum,Hirundo_rustica,Tachycineta_bicolor	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	42
Larus_argentatus|Rissa_tridactyla|Sterna_hirundo		categorical	3	Larus_argentatus,Rissa_tridactyla,Sterna_hirundo	0.0319148936170213							pair	3	1	0.382978723404255	1	pair=3	0.382978723404255	0.068418153288239	false	43
Acrocephalus_arundinaceus|Acrocephalus_melanopogon|Acrocephalus_palustris|Acrocephalus_schoenobaenus|Acrocephalus_scirpaceus|Aegithalos_caudatus|Delichon_urbicum|Hirundo_rustica|Phylloscopus_fuscatus|Phylloscopus_sibilatrix|Phylloscopus_trochilus|Tachycineta_bicolor|Zosterops_lateralis		categorical	13	Acrocephalus_arundinaceus,Acrocephalus_melanopogon,Acrocephalus_palustris,Acrocephalus_schoenobaenus,Acrocephalus_scirpaceus,Aegithalos_caudatus,Delichon_urbicum,Hirundo_rustica,Phylloscopus_fuscatus,Phylloscopus_sibilatrix,Phylloscopus_trochilus,Tachycineta_bicolor,Zosterops_lateralis	0.138297872340426							pair	7	0.538461538461538	-0.0785597381342062	3	pair=7;polyandrous=5;cooperative=1	0.171849427168576	0.0639080900079951	false	44
