mode	lambda_value	log_likelihood	delta_log_likelihood	within_95_confidence_interval	profile_lower_95_confidence_interval	profile_upper_95_confidence_interval	null_log_likelihood	brownian_log_likelihood
estimated	0.42	-446.962501495835	2.89335333357138	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.43	-446.843774576761	2.77462641449716	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.44	-446.726281412392	2.65713325012842	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.45	-446.610018438501	2.54087027623763	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.46	-446.494989582258	2.42584141999475	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.47	-446.381206286922	2.31205812465868	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.48	-446.268687605006	2.19953944274192	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.49	-446.15746036034	2.08831219807593	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.5	-446.047559380604	1.97841121833994	false	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.51	-445.939027803048	1.86987964078463	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.52	-445.831917457367	1.76276929510283	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.53	-445.726289330982	1.65714116871783	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.54	-445.622214123469	1.55306596120488	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.55	-445.51977289844	1.45062473617594	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.56	-445.419057843061	1.34990968079745	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.57	-445.320173147489	1.25102498522506	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.58	-445.223236018968	1.15408785670394	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.59	-445.128377848246	1.0592296859827	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.6	-445.035745549393	0.966597387129752	true	0.51	0.9	-456.310146563131	-474.563014783386
estimated	0.61	-444.945503098218	0.876354935954282	true	0.51	0.9	-456.310146563131	-474.563014783386
